image,class_code,type,question,expected_keyword,answer,intent,detected_summary,reliable_summary,correct
D:\20252\project2\data_v1_filtered\images\val\68863.jpg,pn,what_sign,Đây là biển gì?,Cấm đỗ xe,"Trong ảnh phát hiện các biển báo sau:
- Cấm đỗ xe (độ tin cậy 0.97)
- Giới hạn tốc độ 40 km/h (độ tin cậy 0.29)",what_sign,pn(0.97); pl40(0.29); pl50(0.23),pn(0.97); pl40(0.29),True
D:\20252\project2\data_v1_filtered\images\val\68863.jpg,pn,meaning,Biển này có ý nghĩa gì?,Cấm đỗ xe,"Cấm đỗ xe: Biển báo cấm các phương tiện đỗ xe tại khu vực có đặt biển. (độ tin cậy 0.97).
Giới hạn tốc độ 40 km/h: Biển báo quy định tốc độ tối đa cho phép là 40 km/h. (độ tin cậy 0.29).",meaning,pn(0.97); pl40(0.29); pl50(0.23),pn(0.97); pl40(0.29),True
D:\20252\project2\data_v1_filtered\images\val\68863.jpg,pn,group,Biển này thuộc nhóm nào?,Biển cấm,"Cấm đỗ xe thuộc nhóm Biển cấm.
Giới hạn tốc độ 40 km/h thuộc nhóm Biển giới hạn tốc độ.",group,pn(0.97); pl40(0.29); pl50(0.23),pn(0.97); pl40(0.29),True
D:\20252\project2\data_v1_filtered\images\val\68863.jpg,pn,summary,Tóm tắt tình huống trong ảnh.,Cấm đỗ xe,"Tóm tắt kết quả nhận diện:
- Cấm đỗ xe (Biển cấm), độ tin cậy 0.97.
- Giới hạn tốc độ 40 km/h (Biển giới hạn tốc độ), độ tin cậy 0.29.
Tốc độ tối đa suy ra từ biển báo là 40 km/h.",summary,pn(0.97); pl40(0.29); pl50(0.23),pn(0.97); pl40(0.29),True
D:\20252\project2\data_v1_filtered\images\val\68863.jpg,pn,parking,Có được đỗ xe không?,Không được đỗ xe,Không được đỗ xe. Căn cứ: hệ thống phát hiện biển Cấm đỗ xe trong ảnh.,parking,pn(0.97); pl40(0.29); pl50(0.23),pn(0.97); pl40(0.29),True
D:\20252\project2\data_v1_filtered\images\val\68863.jpg,pn,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,Không đỗ xe,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 40 km/h.
- Không đỗ xe tại khu vực có biển Cấm đỗ xe.",situation_advice,pn(0.97); pl40(0.29); pl50(0.23),pn(0.97); pl40(0.29),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pne,what_sign,Đây là biển gì?,Cấm đi vào,"Trong ảnh phát hiện các biển báo sau:
- Giới hạn tốc độ 90 km/h (độ tin cậy 0.99)
- Cấm đi vào (độ tin cậy 0.98)
- Cấm xe khách lớn đi vào (độ tin cậy 0.98)
- Cấm xe tải đi vào (độ tin cậy 0.97)",what_sign,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pne,meaning,Biển này có ý nghĩa gì?,Cấm đi vào,"Giới hạn tốc độ 90 km/h: Biển báo quy định tốc độ tối đa cho phép là 90 km/h. (độ tin cậy 0.99).
Cấm đi vào: Biển báo cấm tất cả hoặc một số loại phương tiện đi vào theo chiều đặt biển. (độ tin cậy 0.98).
Cấm xe khách lớn đi vào: Biển báo cấm xe khách lớn đi vào khu vực hoặc đoạn đường có đặt biển. (độ tin cậy 0.98).
Cấm xe tải đi vào: Biển báo cấm xe tải đi vào đoạn đường hoặc khu vực có đặt biển. (độ tin cậy 0.97).",meaning,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pne,group,Biển này thuộc nhóm nào?,Biển cấm,"Giới hạn tốc độ 90 km/h thuộc nhóm Biển giới hạn tốc độ.
Cấm đi vào thuộc nhóm Biển cấm.
Cấm xe khách lớn đi vào thuộc nhóm Biển cấm.
Cấm xe tải đi vào thuộc nhóm Biển cấm.",group,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pne,summary,Tóm tắt tình huống trong ảnh.,Cấm đi vào,"Tóm tắt kết quả nhận diện:
- Giới hạn tốc độ 90 km/h (Biển giới hạn tốc độ), độ tin cậy 0.99.
- Cấm đi vào (Biển cấm), độ tin cậy 0.98.
- Cấm xe khách lớn đi vào (Biển cấm), độ tin cậy 0.98.
- Cấm xe tải đi vào (Biển cấm), độ tin cậy 0.97.
Tốc độ tối đa suy ra từ biển báo là 90 km/h.",summary,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pne,entry,Có được đi vào đường này không?,Không được đi vào,Không được đi vào. Căn cứ: hệ thống phát hiện biển Cấm đi vào trong ảnh.,entry,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
D:\20252\project2\data_v1_filtered\images\val\31801 (3).jpg,pne,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,Không đi vào,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 90 km/h.
- Không đi vào đường/khu vực có biển Cấm đi vào.
- Xe tải không được đi vào đoạn đường có biển cấm.
- Xe khách lớn không được đi vào đoạn đường có biển cấm.",situation_advice,pl90(0.99); pl90(0.98); pne(0.98); p3(0.98); pl90(0.98); p26(0.97),pl90(0.99); pne(0.98); p3(0.98); p26(0.97),True
D:\20252\project2\data_v1_filtered\images\val\79444.jpg,p11,what_sign,Đây là biển gì?,Cấm bấm còi,"Trong ảnh phát hiện các biển báo sau:
- Cấm bấm còi (độ tin cậy 1.00)
- Cấm đỗ xe (độ tin cậy 0.89)
- Giới hạn tốc độ 80 km/h (độ tin cậy 0.59)",what_sign,p11(1.00); pn(0.89); pl80(0.59); pl50(0.22); pl40(0.13),p11(1.00); pn(0.89); pl80(0.59),True
D:\20252\project2\data_v1_filtered\images\val\79444.jpg,p11,meaning,Biển này có ý nghĩa gì?,Cấm bấm còi,"Cấm bấm còi: Biển báo cấm người điều khiển phương tiện sử dụng còi tại khu vực có đặt biển. (độ tin cậy 1.00).
Cấm đỗ xe: Biển báo cấm các phương tiện đỗ xe tại khu vực có đặt biển. (độ tin cậy 0.89).
Giới hạn tốc độ 80 km/h: Biển báo quy định tốc độ tối đa cho phép là 80 km/h. (độ tin cậy 0.59).",meaning,p11(1.00); pn(0.89); pl80(0.59); pl50(0.22); pl40(0.13),p11(1.00); pn(0.89); pl80(0.59),True
D:\20252\project2\data_v1_filtered\images\val\79444.jpg,p11,group,Biển này thuộc nhóm nào?,Biển cấm,"Cấm bấm còi thuộc nhóm Biển cấm.
Cấm đỗ xe thuộc nhóm Biển cấm.
Giới hạn tốc độ 80 km/h thuộc nhóm Biển giới hạn tốc độ.",group,p11(1.00); pn(0.89); pl80(0.59); pl50(0.22); pl40(0.13),p11(1.00); pn(0.89); pl80(0.59),True
D:\20252\project2\data_v1_filtered\images\val\79444.jpg,p11,summary,Tóm tắt tình huống trong ảnh.,Cấm bấm còi,"Tóm tắt kết quả nhận diện:
- Cấm bấm còi (Biển cấm), độ tin cậy 1.00.
- Cấm đỗ xe (Biển cấm), độ tin cậy 0.89.
- Giới hạn tốc độ 80 km/h (Biển giới hạn tốc độ), độ tin cậy 0.59.
Tốc độ tối đa suy ra từ biển báo là 80 km/h.",summary,p11(1.00); pn(0.89); pl80(0.59); pl50(0.22); pl40(0.13),p11(1.00); pn(0.89); pl80(0.59),True
D:\20252\project2\data_v1_filtered\images\val\79444.jpg,p11,honking,Có được bấm còi không?,Không được bấm còi,Không được bấm còi. Căn cứ: hệ thống phát hiện biển Cấm bấm còi.,honking,p11(1.00); pn(0.89); pl80(0.59); pl50(0.22); pl40(0.13),p11(1.00); pn(0.89); pl80(0.59),True
D:\20252\project2\data_v1_filtered\images\val\79444.jpg,p11,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,Không sử dụng còi,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 80 km/h.
- Không đỗ xe tại khu vực có biển Cấm đỗ xe.
- Không sử dụng còi tại khu vực có biển Cấm bấm còi.",situation_advice,p11(1.00); pn(0.89); pl80(0.59); pl50(0.22); pl40(0.13),p11(1.00); pn(0.89); pl80(0.59),True
D:\20252\project2\data_v1_filtered\images\val\75515.jpg,p26,what_sign,Đây là biển gì?,Cấm xe tải đi vào,"Trong ảnh phát hiện các biển báo sau:
- Cấm xe tải đi vào (độ tin cậy 0.99)
- Đi bên phải (độ tin cậy 0.97)",what_sign,p26(0.99); i5(0.97),p26(0.99); i5(0.97),True
D:\20252\project2\data_v1_filtered\images\val\75515.jpg,p26,meaning,Biển này có ý nghĩa gì?,Cấm xe tải đi vào,"Cấm xe tải đi vào: Biển báo cấm xe tải đi vào đoạn đường hoặc khu vực có đặt biển. (độ tin cậy 0.99).
Đi bên phải: Biển báo yêu cầu phương tiện đi về phía bên phải theo hướng chỉ dẫn. (độ tin cậy 0.97).",meaning,p26(0.99); i5(0.97),p26(0.99); i5(0.97),True
D:\20252\project2\data_v1_filtered\images\val\75515.jpg,p26,group,Biển này thuộc nhóm nào?,Biển cấm,"Cấm xe tải đi vào thuộc nhóm Biển cấm.
Đi bên phải thuộc nhóm Biển bắt buộc.",group,p26(0.99); i5(0.97),p26(0.99); i5(0.97),True
D:\20252\project2\data_v1_filtered\images\val\75515.jpg,p26,summary,Tóm tắt tình huống trong ảnh.,Cấm xe tải đi vào,"Tóm tắt kết quả nhận diện:
- Cấm xe tải đi vào (Biển cấm), độ tin cậy 0.99.
- Đi bên phải (Biển bắt buộc), độ tin cậy 0.97.",summary,p26(0.99); i5(0.97),p26(0.99); i5(0.97),True
D:\20252\project2\data_v1_filtered\images\val\75515.jpg,p26,truck,Xe tải có được đi vào không?,Xe tải không được đi vào,Xe tải không được đi vào. Căn cứ: hệ thống phát hiện biển Cấm xe tải đi vào.,truck,p26(0.99); i5(0.97),p26(0.99); i5(0.97),True
D:\20252\project2\data_v1_filtered\images\val\75515.jpg,p26,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,Xe tải không được đi vào,"Khi đi qua khu vực này, người lái cần chú ý:
- Xe tải không được đi vào đoạn đường có biển cấm.
- Cần đi về bên phải theo chỉ dẫn của biển báo.",situation_advice,p26(0.99); i5(0.97),p26(0.99); i5(0.97),True
D:\20252\project2\data_v1_filtered\images\val\74550.jpg,i2,what_sign,Đây là biển gì?,Đường dành cho xe không động cơ,"Trong ảnh phát hiện các biển báo sau:
- Đường dành cho xe không động cơ (độ tin cậy 0.99)
- Đường dành cho xe cơ giới (độ tin cậy 0.96)
- Giới hạn tốc độ 80 km/h (độ tin cậy 0.47)",what_sign,i2(0.99); i4(0.96); pl80(0.47),i2(0.99); i4(0.96); pl80(0.47),True
D:\20252\project2\data_v1_filtered\images\val\74550.jpg,i2,meaning,Biển này có ý nghĩa gì?,Đường dành cho xe không động cơ,"Đường dành cho xe không động cơ: Biển báo chỉ dẫn đoạn đường hoặc làn đường dành cho các phương tiện không động cơ. (độ tin cậy 0.99).
Đường dành cho xe cơ giới: Biển báo chỉ dẫn đoạn đường hoặc làn đường dành cho xe cơ giới. (độ tin cậy 0.96).
Giới hạn tốc độ 80 km/h: Biển báo quy định tốc độ tối đa cho phép là 80 km/h. (độ tin cậy 0.47).",meaning,i2(0.99); i4(0.96); pl80(0.47),i2(0.99); i4(0.96); pl80(0.47),True
