image,class_code,type,question,expected_keyword,answer,intent,detected_summary,reliable_summary,correct
D:\20252\project2\data_v1_filtered\images\val\10128.jpg,pn,what_sign,Đây là biển gì?,Cấm đỗ xe,"Trong ảnh phát hiện các biển báo sau:
- Cấm bấm còi (độ tin cậy 0.96)
- Cấm đỗ xe (độ tin cậy 0.95)
- Giới hạn tốc độ 40 km/h (độ tin cậy 0.65)",what_sign,p11(0.96); pn(0.95); pl40(0.65),p11(0.96); pn(0.95); pl40(0.65),True
D:\20252\project2\data_v1_filtered\images\val\10128.jpg,pn,meaning,Biển này có ý nghĩa gì?,Cấm đỗ xe,"Cấm bấm còi: Biển báo cấm người điều khiển phương tiện sử dụng còi tại khu vực có đặt biển. (độ tin cậy 0.96).
Cấm đỗ xe: Biển báo cấm các phương tiện đỗ xe tại khu vực có đặt biển. (độ tin cậy 0.95).
Giới hạn tốc độ 40 km/h: Biển báo quy định tốc độ tối đa cho phép là 40 km/h. (độ tin cậy 0.65).",meaning,p11(0.96); pn(0.95); pl40(0.65),p11(0.96); pn(0.95); pl40(0.65),True
D:\20252\project2\data_v1_filtered\images\val\10128.jpg,pn,group,Biển này thuộc nhóm nào?,Biển cấm,"Cấm bấm còi thuộc nhóm Biển cấm.
Cấm đỗ xe thuộc nhóm Biển cấm.
Giới hạn tốc độ 40 km/h thuộc nhóm Biển giới hạn tốc độ.",group,p11(0.96); pn(0.95); pl40(0.65),p11(0.96); pn(0.95); pl40(0.65),True
D:\20252\project2\data_v1_filtered\images\val\10128.jpg,pn,summary,Tóm tắt tình huống trong ảnh.,Cấm đỗ xe,"Tóm tắt kết quả nhận diện:
- Cấm bấm còi (Biển cấm), độ tin cậy 0.96.
- Cấm đỗ xe (Biển cấm), độ tin cậy 0.95.
- Giới hạn tốc độ 40 km/h (Biển giới hạn tốc độ), độ tin cậy 0.65.
Tốc độ tối đa suy ra từ biển báo là 40 km/h.",summary,p11(0.96); pn(0.95); pl40(0.65),p11(0.96); pn(0.95); pl40(0.65),True
D:\20252\project2\data_v1_filtered\images\val\10128.jpg,pn,parking,Có được đỗ xe không?,Không được đỗ xe,Không được đỗ xe. Căn cứ: hệ thống phát hiện biển Cấm đỗ xe trong ảnh.,parking,p11(0.96); pn(0.95); pl40(0.65),p11(0.96); pn(0.95); pl40(0.65),True
D:\20252\project2\data_v1_filtered\images\val\10128.jpg,pn,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,Không đỗ xe,"Khi đi qua khu vực này, người lái cần chú ý:
- Không vượt quá tốc độ 40 km/h.
- Không đỗ xe tại khu vực có biển Cấm đỗ xe.
- Không sử dụng còi tại khu vực có biển Cấm bấm còi.",situation_advice,p11(0.96); pn(0.95); pl40(0.65),p11(0.96); pn(0.95); pl40(0.65),True
D:\20252\project2\data_v1_filtered\images\val\10169 (2).jpg,pne,what_sign,Đây là biển gì?,Cấm đi vào,"Trong ảnh phát hiện các biển báo sau:
- Cấm đi vào (độ tin cậy 0.92)
- Đường dành cho xe cơ giới (độ tin cậy 0.89)
- Đường dành cho xe không động cơ (độ tin cậy 0.73)
- Hạn chế chiều cao (độ tin cậy 0.40)",what_sign,pne(0.92); i4(0.89); i2(0.73); ph(0.40); pl20(0.20); pl20(0.14); p26(0.08); pl80(0.05),pne(0.92); i4(0.89); i2(0.73); ph(0.40),True
D:\20252\project2\data_v1_filtered\images\val\10169 (2).jpg,pne,meaning,Biển này có ý nghĩa gì?,Cấm đi vào,"Cấm đi vào: Biển báo cấm tất cả hoặc một số loại phương tiện đi vào theo chiều đặt biển. (độ tin cậy 0.92).
Đường dành cho xe cơ giới: Biển báo chỉ dẫn đoạn đường hoặc làn đường dành cho xe cơ giới. (độ tin cậy 0.89).
Đường dành cho xe không động cơ: Biển báo chỉ dẫn đoạn đường hoặc làn đường dành cho các phương tiện không động cơ. (độ tin cậy 0.73).
Hạn chế chiều cao: Biển báo giới hạn chiều cao tối đa của phương tiện được phép đi qua. (độ tin cậy 0.40).",meaning,pne(0.92); i4(0.89); i2(0.73); ph(0.40); pl20(0.20); pl20(0.14); p26(0.08); pl80(0.05),pne(0.92); i4(0.89); i2(0.73); ph(0.40),True
D:\20252\project2\data_v1_filtered\images\val\10169 (2).jpg,pne,group,Biển này thuộc nhóm nào?,Biển cấm,"Cấm đi vào thuộc nhóm Biển cấm.
Đường dành cho xe cơ giới thuộc nhóm Biển chỉ dẫn.
Đường dành cho xe không động cơ thuộc nhóm Biển chỉ dẫn.
Hạn chế chiều cao thuộc nhóm Biển hạn chế.",group,pne(0.92); i4(0.89); i2(0.73); ph(0.40); pl20(0.20); pl20(0.14); p26(0.08); pl80(0.05),pne(0.92); i4(0.89); i2(0.73); ph(0.40),True
D:\20252\project2\data_v1_filtered\images\val\10169 (2).jpg,pne,summary,Tóm tắt tình huống trong ảnh.,Cấm đi vào,"Tóm tắt kết quả nhận diện:
- Cấm đi vào (Biển cấm), độ tin cậy 0.92.
- Đường dành cho xe cơ giới (Biển chỉ dẫn), độ tin cậy 0.89.
- Đường dành cho xe không động cơ (Biển chỉ dẫn), độ tin cậy 0.73.
- Hạn chế chiều cao (Biển hạn chế), độ tin cậy 0.40.",summary,pne(0.92); i4(0.89); i2(0.73); ph(0.40); pl20(0.20); pl20(0.14); p26(0.08); pl80(0.05),pne(0.92); i4(0.89); i2(0.73); ph(0.40),True
D:\20252\project2\data_v1_filtered\images\val\10169 (2).jpg,pne,entry,Có được đi vào đường này không?,Không được đi vào,Không được đi vào. Căn cứ: hệ thống phát hiện biển Cấm đi vào trong ảnh.,entry,pne(0.92); i4(0.89); i2(0.73); ph(0.40); pl20(0.20); pl20(0.14); p26(0.08); pl80(0.05),pne(0.92); i4(0.89); i2(0.73); ph(0.40),True
D:\20252\project2\data_v1_filtered\images\val\10169 (2).jpg,pne,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,Không đi vào,"Khi đi qua khu vực này, người lái cần chú ý:
- Không đi vào đường/khu vực có biển Cấm đi vào.
- Cần chú ý giới hạn chiều cao của phương tiện.",situation_advice,pne(0.92); i4(0.89); i2(0.73); ph(0.40); pl20(0.20); pl20(0.14); p26(0.08); pl80(0.05),pne(0.92); i4(0.89); i2(0.73); ph(0.40),True
D:\20252\project2\data_v1_filtered\images\val\10122.jpg,p11,what_sign,Đây là biển gì?,Cấm bấm còi,Đây là Cấm bấm còi. Căn cứ: mô hình phát hiện biển này với độ tin cậy 0.44.,what_sign,p11(0.44); p3(0.20),p11(0.44),True
D:\20252\project2\data_v1_filtered\images\val\10122.jpg,p11,meaning,Biển này có ý nghĩa gì?,Cấm bấm còi,Cấm bấm còi: Biển báo cấm người điều khiển phương tiện sử dụng còi tại khu vực có đặt biển. (độ tin cậy 0.44).,meaning,p11(0.44); p3(0.20),p11(0.44),True
D:\20252\project2\data_v1_filtered\images\val\10122.jpg,p11,group,Biển này thuộc nhóm nào?,Biển cấm,Cấm bấm còi thuộc nhóm Biển cấm.,group,p11(0.44); p3(0.20),p11(0.44),True
D:\20252\project2\data_v1_filtered\images\val\10122.jpg,p11,summary,Tóm tắt tình huống trong ảnh.,Cấm bấm còi,"Tóm tắt kết quả nhận diện:
- Cấm bấm còi (Biển cấm), độ tin cậy 0.44.",summary,p11(0.44); p3(0.20),p11(0.44),True
D:\20252\project2\data_v1_filtered\images\val\10122.jpg,p11,honking,Có được bấm còi không?,Không được bấm còi,Không được bấm còi. Căn cứ: hệ thống phát hiện biển Cấm bấm còi.,honking,p11(0.44); p3(0.20),p11(0.44),True
D:\20252\project2\data_v1_filtered\images\val\10122.jpg,p11,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,Không sử dụng còi,"Khi đi qua khu vực này, người lái cần chú ý:
- Không sử dụng còi tại khu vực có biển Cấm bấm còi.",situation_advice,p11(0.44); p3(0.20),p11(0.44),True
D:\20252\project2\data_v1_filtered\images\val\10020.jpg,p26,what_sign,Đây là biển gì?,Cấm xe tải đi vào,Đây là Cấm xe tải đi vào. Căn cứ: mô hình phát hiện biển này với độ tin cậy 0.87.,what_sign,p26(0.87),p26(0.87),True
D:\20252\project2\data_v1_filtered\images\val\10020.jpg,p26,meaning,Biển này có ý nghĩa gì?,Cấm xe tải đi vào,Cấm xe tải đi vào: Biển báo cấm xe tải đi vào đoạn đường hoặc khu vực có đặt biển. (độ tin cậy 0.87).,meaning,p26(0.87),p26(0.87),True
D:\20252\project2\data_v1_filtered\images\val\10020.jpg,p26,group,Biển này thuộc nhóm nào?,Biển cấm,Cấm xe tải đi vào thuộc nhóm Biển cấm.,group,p26(0.87),p26(0.87),True
D:\20252\project2\data_v1_filtered\images\val\10020.jpg,p26,summary,Tóm tắt tình huống trong ảnh.,Cấm xe tải đi vào,"Tóm tắt kết quả nhận diện:
- Cấm xe tải đi vào (Biển cấm), độ tin cậy 0.87.",summary,p26(0.87),p26(0.87),True
D:\20252\project2\data_v1_filtered\images\val\10020.jpg,p26,truck,Xe tải có được đi vào không?,Xe tải không được đi vào,Xe tải không được đi vào. Căn cứ: hệ thống phát hiện biển Cấm xe tải đi vào.,truck,p26(0.87),p26(0.87),True
D:\20252\project2\data_v1_filtered\images\val\10020.jpg,p26,situation_advice,Cần chú ý gì khi đi qua đoạn đường này?,Xe tải không được đi vào,"Khi đi qua khu vực này, người lái cần chú ý:
- Xe tải không được đi vào đoạn đường có biển cấm.",situation_advice,p26(0.87),p26(0.87),True
D:\20252\project2\data_v1_filtered\images\val\10169 (2).jpg,i2,what_sign,Đây là biển gì?,Đường dành cho xe không động cơ,"Trong ảnh phát hiện các biển báo sau:
- Cấm đi vào (độ tin cậy 0.92)
- Đường dành cho xe cơ giới (độ tin cậy 0.89)
- Đường dành cho xe không động cơ (độ tin cậy 0.73)
- Hạn chế chiều cao (độ tin cậy 0.40)",what_sign,pne(0.92); i4(0.89); i2(0.73); ph(0.40); pl20(0.20); pl20(0.14); p26(0.08); pl80(0.05),pne(0.92); i4(0.89); i2(0.73); ph(0.40),True
D:\20252\project2\data_v1_filtered\images\val\10169 (2).jpg,i2,meaning,Biển này có ý nghĩa gì?,Đường dành cho xe không động cơ,"Cấm đi vào: Biển báo cấm tất cả hoặc một số loại phương tiện đi vào theo chiều đặt biển. (độ tin cậy 0.92).
Đường dành cho xe cơ giới: Biển báo chỉ dẫn đoạn đường hoặc làn đường dành cho xe cơ giới. (độ tin cậy 0.89).
Đường dành cho xe không động cơ: Biển báo chỉ dẫn đoạn đường hoặc làn đường dành cho các phương tiện không động cơ. (độ tin cậy 0.73).
Hạn chế chiều cao: Biển báo giới hạn chiều cao tối đa của phương tiện được phép đi qua. (độ tin cậy 0.40).",meaning,pne(0.92); i4(0.89); i2(0.73); ph(0.40); pl20(0.20); pl20(0.14); p26(0.08); pl80(0.05),pne(0.92); i4(0.89); i2(0.73); ph(0.40),True
D:\20252\project2\data_v1_filtered\images\val\10169 (2).jpg,i2,group,Biển này thuộc nhóm nào?,Biển chỉ dẫn,"Cấm đi vào thuộc nhóm Biển cấm.
Đường dành cho xe cơ giới thuộc nhóm Biển chỉ dẫn.
Đường dành cho xe không động cơ thuộc nhóm Biển chỉ dẫn.
Hạn chế chiều cao thuộc nhóm Biển hạn chế.",group,pne(0.92); i4(0.89); i2(0.73); ph(0.40); pl20(0.20); pl20(0.14); p26(0.08); pl80(0.05),pne(0.92); i4(0.89); i2(0.73); ph(0.40),True
D:\20252\project2\data_v1_filtered\images\val\10169 (2).jpg,i2,summary,Tóm tắt tình huống trong ảnh.,Đường dành cho xe không động cơ,"Tóm tắt kết quả nhận diện:
- Cấm đi vào (Biển cấm), độ tin cậy 0.92.
- Đường dành cho xe cơ giới (Biển chỉ dẫn), độ tin cậy 0.89.
- Đường dành cho xe không động cơ (Biển chỉ dẫn), độ tin cậy 0.73.
- Hạn chế chiều cao (Biển hạn chế), độ tin cậy 0.40.",summary,pne(0.92); i4(0.89); i2(0.73); ph(0.40); pl20(0.20); pl20(0.14); p26(0.08); pl80(0.05),pne(0.92); i4(0.89); i2(0.73); ph(0.40),True
D:\20252\project2\data_v1_filtered\images\val\10139 (2).jpg,i4,what_sign,Đây là biển gì?,Đường dành cho xe cơ giới,"Trong ảnh phát hiện các biển báo sau:
- Giới hạn tốc độ 20 km/h (độ tin cậy 0.89)
- Đường dành cho xe cơ giới (độ tin cậy 0.86)",what_sign,pl20(0.89); i4(0.86); pl30(0.21),pl20(0.89); i4(0.86),True
